trade_id,timestamp,symbol,side,quantity,price,fees,strategy,account,fill_id
26,1700000000071614679,V,Sell,9880,271.6,268.34,momentum,acc3,fill_00000026
27,1700000000074329544,JNJ,Sell,4490,158.75,71.28,macro,acc2,fill_00000027
28,1700000000075444600,JPM,Buy,660,177.48,11.71,momentum,acc3,fill_00000028
29,1700000000077391917,AAPL,Buy,7250,178.97,129.75,stat_arb,acc1,fill_00000029
30,1700000000078057311,GOOG,Sell,730,137.75,10.06,vol_arb,acc1,fill_00000030
31,1700000000082680733,TSLA,Sell,2490,249.64,62.16,vol_arb,acc2,fill_00000031
32,1700000000084378007,AMZN,Buy,6750,176.57,119.18,vol_arb,acc3,fill_00000032
33,1700000000084932427,AMZN,Buy,4130,181.59,75.0,market_making,acc1,fill_00000033
34,1700000000087118307,META,Buy,5500,343.05,188.68,market_making,acc2,fill_00000034
35,1700000000089313835,MSFT,Sell,8280,382.52,316.73,macro,acc1,fill_00000035
36,1700000000089838200,PFE,Buy,9930,28.78,28.58,momentum,acc1,fill_00000036
37,1700000000093347448,BAC,Sell,2190,35.65,7.81,vol_arb,acc1,fill_00000037
38,1700000000094828524,JNJ,Buy,4000,154.48,61.79,vol_arb,acc2,fill_00000038
39,1700000000098476967,PFE,Sell,1590,28.98,4.61,momentum,acc2,fill_00000039
40,1700000000100403174,GOOG,Buy,7660,139.65,106.97,vol_arb,acc3,fill_00000040
41,1700000000104958582,NVDA,Buy,9840,452.66,445.42,macro,acc1,fill_00000041
42,1700000000106617394,MSFT,Buy,6920,384.99,266.41,macro,acc1,fill_00000042
43,1700000000111573719,KO,Buy,6350,59.07,37.51,stat_arb,acc2,fill_00000043
44,1700000000116569917,ABBV,Sell,9580,154.69,148.19,market_making,acc1,fill_00000044
45,1700000000118898053,JNJ,Buy,6880,159.6,109.8,market_making,acc2,fill_00000045
46,1700000000121650339,MSFT,Buy,4700,372.92,175.27,stat_arb,acc1,fill_00000046
47,1700000000126260343,META,Sell,1360,343.79,46.76,market_making,acc1,fill_00000047
48,1700000000128409549,MA,Sell,1620,410.27,66.46,market_making,acc3,fill_00000048
49,1700000000132946625,AAPL,Sell,9550,176.66,168.71,stat_arb,acc1,fill_00000049
50,1700000000135265125,AMZN,Buy,7610,177.29,134.92,macro,acc1,fill_00000050
51,1700000000138241413,META,Sell,5180,348.17,180.35,vol_arb,acc2,fill_00000051
52,1700000000138767545,MSFT,Sell,8500,379.89,322.91,momentum,acc3,fill_00000052
53,1700000000141064985,NVDA,Sell,5650,450.75,254.67,vol_arb,acc3,fill_00000053
54,1700000000141246100,AMZN,Buy,9680,185.78,179.84,macro,acc1,fill_00000054
55,1700000000144443308,ABBV,Buy,4410,150.5,66.37,momentum,acc1,fill_00000055
56,1700000000147129166,MA,Buy,9210,412.03,379.48,stat_arb,acc2,fill_00000056
57,1700000000151925809,PG,Buy,9480,158.66,150.41,momentum,acc1,fill_00000057
58,1700000000153511031,PG,Buy,1840,154.77,28.48,vol_arb,acc3,fill_00000058
59,1700000000155692808,V,Buy,8070,265.16,213.98,stat_arb,acc2,fill_00000059
60,1700000000156117653,BAC,Buy,2050,35.32,7.24,market_making,acc1,fill_00000060
61,1700000000158087671,AAPL,Buy,4090,171.45,70.12,market_making,acc2,fill_00000061
62,1700000000158770014,V,Sell,6570,261.87,172.05,macro,acc2,fill_00000062
63,1700000000159101544,AMZN,Sell,1830,179.68,32.88,macro,acc2,fill_00000063
64,1700000000159522468,AMZN,Sell,3540,179.58,63.57,macro,acc3,fill_00000064
65,1700000000160592575,JNJ,Buy,2610,152.33,39.76,stat_arb,acc3,fill_00000065
66,1700000000164350490,AAPL,Buy,3730,167.25,62.38,market_making,acc3,fill_00000066
67,1700000000167083805,AMZN,Sell,5200,183.67,95.51,market_making,acc3,fill_00000067
68,1700000000170609653,UNH,Sell,7140,518.46,370.18,vol_arb,acc3,fill_00000068
69,1700000000173890154,NVDA,Sell,4160,454.5,189.07,macro,acc1,fill_00000069
70,1700000000176539241,WMT,Buy,4410,166.0,73.21,market_making,acc2,fill_00000070
71,1700000000180345210,HD,Buy,5240,340.68,178.52,vol_arb,acc3,fill_00000071
72,1700000000181868684,MSFT,Sell,5280,374.56,197.77,stat_arb,acc1,fill_00000072
73,1700000000184572671,JPM,Buy,1510,175.71,26.53,stat_arb,acc1,fill_00000073
74,1700000000186726559,BAC,Buy,4670,34.15,15.95,momentum,acc3,fill_00000074
75,1700000000190047603,BAC,Sell,2500,35.51,8.88,momentum,acc3,fill_00000075
76,1700000000190194116,AMZN,Sell,2250,184.07,41.42,macro,acc2,fill_00000076
77,1700000000190715378,PFE,Buy,9400,29.26,27.5,stat_arb,acc2,fill_00000077
78,1700000000191933907,HD,Sell,9730,350.25,340.79,macro,acc2,fill_00000078
79,1700000000196629790,HD,Buy,7620,342.44,260.94,vol_arb,acc2,fill_00000079
80,1700000000198904046,JPM,Sell,7850,180.72,141.87,momentum,acc2,fill_00000080
81,1700000000202693964,MSFT,Sell,2410,371.38,89.5,market_making,acc2,fill_00000081
82,1700000000205475882,PFE,Buy,1420,28.32,4.02,momentum,acc3,fill_00000082
83,1700000000207370648,MSFT,Sell,4180,386.07,161.38,market_making,acc3,fill_00000083
84,1700000000211379104,PG,Buy,2120,156.53,33.18,macro,acc3,fill_00000084
85,1700000000211642949,ABBV,Sell,4890,152.33,74.49,stat_arb,acc2,fill_00000085
86,1700000000214247893,JNJ,Sell,5520,154.94,85.53,macro,acc1,fill_00000086
87,1700000000218443458,JPM,Sell,4470,175.48,78.44,vol_arb,acc1,fill_00000087
88,1700000000221805428,UNH,Sell,7420,525.94,390.25,momentum,acc3,fill_00000088
89,1700000000226385981,AAPL,Sell,6070,178.38,108.28,macro,acc3,fill_00000089
90,1700000000226713329,MSFT,Sell,1390,383.22,53.27,market_making,acc2,fill_00000090
91,1700000000229559362,META,Sell,3350,346.71,116.15,market_making,acc2,fill_00000091
92,1700000000231993547,PG,Sell,8550,155.53,132.98,macro,acc1,fill_00000092
93,1700000000235029227,JPM,Buy,8000,180.35,144.28,stat_arb,acc1,fill_00000093
94,1700000000237203589,META,Buy,6370,352.09,224.28,stat_arb,acc3,fill_00000094
95,1700000000239132008,HD,Sell,7860,352.97,277.43,market_making,acc1,fill_00000095
96,1700000000240192779,NVDA,Sell,1110,431.78,47.93,macro,acc3,fill_00000096
97,1700000000243441081,JNJ,Buy,780,151.62,11.83,macro,acc3,fill_00000097
98,1700000000245578249,AMZN,Sell,8710,177.38,154.5,macro,acc1,fill_00000098
99,1700000000248590805,PFE,Sell,6780,27.07,18.35,market_making,acc1,fill_00000099
100,1700000000252935111,UNH,Buy,8700,509.42,443.2,vol_arb,acc2,fill_00000100
101,1700000000256891684,TSLA,Sell,1810,252.79,45.75,macro,acc3,fill_00000101
102,1700000000259257299,KO,Sell,4770,58.21,27.77,market_making,acc2,fill_00000102
103,1700000000261416661,MSFT,Sell,9030,384.85,347.52,vol_arb,acc1,fill_00000103
104,1700000000265414918,ABBV,Sell,3450,160.95,55.53,momentum,acc2,fill_00000104
105,1700000000267294308,MA,Sell,3490,422.94,147.61,market_making,acc3,fill_00000105
106,1700000000269711816,PFE,Buy,5300,28.22,14.96,vol_arb,acc2,fill_00000106
107,1700000000274468971,JPM,Sell,6620,179.51,118.84,vol_arb,acc2,fill_00000107
108,1700000000274713617,MSFT,Sell,2270,375.32,85.2,macro,acc2,fill_00000108
109,1700000000278783613,PFE,Sell,4360,28.24,12.31,macro,acc2,fill_00000109
110,1700000000281834813,HD,Sell,3140,349.97,109.89,momentum,acc2,fill_00000110
111,1700000000282937710,PFE,Buy,1970,28.28,5.57,momentum,acc3,fill_00000111
112,1700000000287099462,V,Sell,1030,272.25,28.04,market_making,acc1,fill_00000112
113,1700000000289735066,AAPL,Buy,2810,172.45,48.46,stat_arb,acc1,fill_00000113
114,1700000000294476977,WMT,Buy,6540,167.6,109.61,stat_arb,acc3,fill_00000114
115,1700000000296962188,BAC,Sell,4520,34.4,15.55,market_making,acc1,fill_00000115
116,1700000000297493167,V,Sell,1170,272.39,31.87,stat_arb,acc3,fill_00000116
117,1700000000298042872,TSLA,Buy,8310,245.45,203.97,macro,acc2,fill_00000117
118,1700000000298857421,JPM,Buy,5720,180.45,103.22,macro,acc1,fill_00000118
119,1700000000303341077,JNJ,Sell,9310,150.78,140.38,vol_arb,acc2,fill_00000119
120,1700000000307038362,WMT,Buy,6250,166.46,104.04,momentum,acc3,fill_00000120
121,1700000000308908569,V,Buy,1610,269.39,43.37,momentum,acc1,fill_00000121
122,1700000000313639015,MSFT,Buy,30,370.25,1.11,vol_arb,acc2,fill_00000122
123,1700000000314012817,JPM,Sell,7240,182.99,132.48,market_making,acc3,fill_00000123
124,1700000000317921507,MSFT,Buy,9470,378.77,358.7,macro,acc3,fill_00000124
125,1700000000319680934,PG,Buy,5580,160.46,89.54,momentum,acc3,fill_00000125
126,1700000000321030747,V,Buy,740,278.91,20.64,macro,acc3,fill_00000126
127,1700000000325905601,WMT,Sell,1280,167.14,21.39,vol_arb,acc3,fill_00000127
128,1700000000328556502,JNJ,Sell,5130,151.78,77.86,macro,acc1,fill_00000128
129,1700000000332280621,UNH,Sell,270,517.23,13.97,stat_arb,acc1,fill_00000129
130,1700000000337205740,ABBV,Buy,7840,153.85,120.62,stat_arb,acc1,fill_00000130
131,1700000000341252586,XOM,Sell,9390,103.53,97.21,market_making,acc1,fill_00000131
132,1700000000345009054,BAC,Buy,4820,34.64,16.7,stat_arb,acc1,fill_00000132
133,1700000000347875647,PG,Sell,2960,157.28,46.55,vol_arb,acc3,fill_00000133
134,1700000000348283484,HD,Buy,3230,349.95,113.03,vol_arb,acc3,fill_00000134
135,1700000000348393139,PFE,Sell,4240,28.28,11.99,stat_arb,acc1,fill_00000135
136,1700000000352842123,MA,Sell,6410,417.44,267.58,market_making,acc3,fill_00000136
137,1700000000354041141,WMT,Sell,9020,165.38,149.17,vol_arb,acc1,fill_00000137
138,1700000000354383315,KO,Buy,7270,60.83,44.22,macro,acc2,fill_00000138
139,1700000000355265210,JPM,Buy,4730,183.82,86.95,stat_arb,acc3,fill_00000139
140,1700000000356656813,BAC,Sell,5220,34.8,18.17,vol_arb,acc2,fill_00000140
141,1700000000358801376,HD,Buy,3930,343.03,134.81,momentum,acc3,fill_00000141
142,1700000000363164809,TSLA,Buy,2830,251.39,71.14,market_making,acc3,fill_00000142
143,1700000000365506015,AAPL,Sell,7440,168.2,125.14,market_making,acc3,fill_00000143
144,1700000000370470764,BAC,Buy,4580,34.37,15.74,macro,acc3,fill_00000144
145,1700000000373735031,HD,Sell,8910,348.45,310.47,momentum,acc3,fill_00000145
146,1700000000375838277,ABBV,Sell,2400,156.97,37.67,market_making,acc3,fill_00000146
147,1700000000379905889,JNJ,Sell,6800,152.49,103.69,momentum,acc2,fill_00000147
148,1700000000380316432,TSLA,Sell,8910,257.8,229.7,stat_arb,acc3,fill_00000148
149,1700000000384249422,AAPL,Buy,4200,178.99,75.18,momentum,acc1,fill_00000149
150,1700000000388287794,V,Sell,6390,267.24,170.77,market_making,acc3,fill_00000150
151,1700000000392864142,JNJ,Sell,6420,150.8,96.81,vol_arb,acc3,fill_00000151
152,1700000000393265285,KO,Buy,2410,58.16,14.02,momentum,acc3,fill_00000152
153,1700000000394123441,PG,Buy,7790,149.87,116.75,stat_arb,acc2,fill_00000153
154,1700000000395619009,WMT,Buy,480,164.49,7.9,market_making,acc2,fill_00000154
155,1700000000399331871,TSLA,Buy,5440,251.52,136.83,vol_arb,acc3,fill_00000155
156,1700000000400942297,NVDA,Buy,810,443.17,35.9,momentum,acc2,fill_00000156
157,1700000000405934173,TSLA,Buy,4730,246.88,116.77,market_making,acc2,fill_00000157
158,1700000000408176008,AAPL,Sell,9230,173.97,160.57,stat_arb,acc2,fill_00000158
159,1700000000411174822,ABBV,Sell,6550,158.79,104.01,vol_arb,acc3,fill_00000159
160,1700000000413372797,HD,Sell,2040,363.72,74.2,stat_arb,acc1,fill_00000160
161,1700000000416671912,ABBV,Sell,5890,154.98,91.28,market_making,acc3,fill_00000161
162,1700000000419248487,AAPL,Sell,2820,182.0,51.32,stat_arb,acc3,fill_00000162
163,1700000000423515337,WMT,Buy,6220,165.34,102.84,market_making,acc1,fill_00000163
164,1700000000425210279,KO,Sell,6950,60.07,41.75,momentum,acc3,fill_00000164
165,1700000000426125349,GOOG,Sell,8080,135.22,109.26,vol_arb,acc1,fill_00000165
166,1700000000431087166,MA,Buy,930,426.3,39.65,vol_arb,acc1,fill_00000166
167,1700000000432871554,TSLA,Sell,5440,247.61,134.7,macro,acc2,fill_00000167
168,1700000000434351852,V,Sell,9910,273.11,270.65,market_making,acc1,fill_00000168
169,1700000000438380500,MSFT,Buy,7730,368.19,284.61,momentum,acc3,fill_00000169
170,1700000000441814229,PFE,Sell,930,28.02,2.61,macro,acc1,fill_00000170
171,1700000000445729250,MA,Sell,5990,418.64,250.77,vol_arb,acc3,fill_00000171
172,1700000000448945396,AMZN,Buy,4830,187.38,90.5,macro,acc2,fill_00000172
173,1700000000450902358,MSFT,Sell,9320,382.47,356.46,market_making,acc3,fill_00000173
174,1700000000454427391,AMZN,Buy,470,182.89,8.6,vol_arb,acc1,fill_00000174
175,1700000000455342696,JPM,Buy,3980,178.98,71.23,vol_arb,acc2,fill_00000175
176,1700000000459974159,PG,Buy,9070,153.78,139.48,vol_arb,acc3,fill_00000176
177,1700000000463497683,V,Buy,7070,271.26,191.78,market_making,acc1,fill_00000177
178,1700000000467317049,HD,Buy,8760,337.19,295.38,market_making,acc3,fill_00000178
179,1700000000470425823,GOOG,Sell,2830,145.99,41.32,momentum,acc1,fill_00000179
180,1700000000474340268,MSFT,Buy,6580,367.05,241.52,stat_arb,acc2,fill_00000180
181,1700000000476483471,TSLA,Buy,710,239.77,17.02,macro,acc1,fill_00000181
182,1700000000478395002,JPM,Sell,7930,184.64,146.42,stat_arb,acc2,fill_00000182
183,1700000000479708732,TSLA,Sell,8180,258.59,211.53,momentum,acc1,fill_00000183
184,1700000000480024991,TSLA,Buy,3670,250.92,92.09,market_making,acc1,fill_00000184
185,1700000000481586674,V,Buy,1300,266.14,34.6,vol_arb,acc3,fill_00000185
186,1700000000482640033,MSFT,Sell,4600,381.6,175.54,stat_arb,acc2,fill_00000186
187,1700000000486966538,JPM,Buy,7450,175.75,130.93,macro,acc2,fill_00000187
188,1700000000490908877,AAPL,Buy,4910,177.12,86.97,stat_arb,acc2,fill_00000188
189,1700000000494729747,MSFT,Buy,3300,373.44,123.24,macro,acc1,fill_00000189
190,1700000000495380729,TSLA,Sell,6400,245.77,157.29,market_making,acc2,fill_00000190
191,1700000000499931362,WMT,Sell,5180,161.91,83.87,macro,acc2,fill_00000191
192,1700000000500863331,AMZN,Buy,4410,177.53,78.29,market_making,acc2,fill_00000192
193,1700000000504308122,PG,Buy,3210,155.67,49.97,vol_arb,acc2,fill_00000193
194,1700000000506546292,MA,Buy,7040,422.77,297.63,stat_arb,acc1,fill_00000194
195,1700000000510269134,AMZN,Sell,8320,179.38,149.24,momentum,acc3,fill_00000195
196,1700000000510872290,ABBV,Sell,6870,157.08,107.91,vol_arb,acc3,fill_00000196
197,1700000000511403850,WMT,Sell,3610,167.14,60.34,stat_arb,acc3,fill_00000197
198,1700000000515760334,META,Buy,6730,336.51,226.47,market_making,acc3,fill_00000198
199,1700000000518943659,AMZN,Sell,5880,180.78,106.3,momentum,acc2,fill_00000199
200,1700000000523749380,KO,Buy,6240,62.04,38.71,market_making,acc1,fill_00000200
201,1700000000525362819,V,Sell,9440,265.62,250.75,market_making,acc2,fill_00000201
202,1700000000525514038,NVDA,Buy,5800,448.12,259.91,stat_arb,acc1,fill_00000202
203,1700000000530064049,META,Sell,4300,347.78,149.55,vol_arb,acc2,fill_00000203
204,1700000000531484493,MA,Sell,7390,410.99,303.72,macro,acc1,fill_00000204
205,1700000000532025807,TSLA,Buy,7730,260.63,201.47,macro,acc1,fill_00000205
206,1700000000532810162,V,Sell,6780,263.44,178.61,vol_arb,acc2,fill_00000206
207,1700000000534718485,XOM,Buy,3540,106.32,37.64,vol_arb,acc1,fill_00000207
208,1700000000537194528,ABBV,Sell,5400,154.53,83.45,vol_arb,acc3,fill_00000208
209,1700000000537754072,AAPL,Buy,3090,174.07,53.79,momentum,acc1,fill_00000209
210,1700000000539997524,WMT,Sell,1230,170.46,20.97,momentum,acc1,fill_00000210
211,1700000000543286935,PFE,Buy,5130,28.05,14.39,macro,acc3,fill_00000211
212,1700000000546357904,MSFT,Sell,8830,379.59,335.18,vol_arb,acc1,fill_00000212
213,1700000000549084046,ABBV,Sell,5880,151.69,89.19,vol_arb,acc3,fill_00000213
214,1700000000552687916,WMT,Buy,4150,167.9,69.68,macro,acc2,fill_00000214
215,1700000000555823356,MSFT,Sell,8650,380.88,329.46,stat_arb,acc1,fill_00000215
216,1700000000559578075,ABBV,Sell,5370,160.52,86.2,market_making,acc1,fill_00000216
217,1700000000562472057,NVDA,Buy,5230,458.63,239.86,stat_arb,acc3,fill_00000217
218,1700000000566849844,META,Sell,3600,348.17,125.34,momentum,acc1,fill_00000218
219,1700000000567812230,TSLA,Sell,2030,240.85,48.89,momentum,acc3,fill_00000219
220,1700000000569194594,MSFT,Buy,9750,381.27,371.74,macro,acc3,fill_00000220
221,1700000000573060284,ABBV,Sell,8850,151.42,134.01,market_making,acc1,fill_00000221
222,1700000000576849281,MSFT,Sell,4530,370.81,167.98,macro,acc1,fill_00000222
223,1700000000579901586,XOM,Buy,3180,102.25,32.52,vol_arb,acc2,fill_00000223
224,1700000000580317058,GOOG,Sell,8520,139.07,118.49,stat_arb,acc3,fill_00000224
225,1700000000584670651,JNJ,Sell,5950,159.34,94.81,macro,acc3,fill_00000225
226,1700000000585114774,HD,Buy,3300,343.47,113.35,stat_arb,acc2,fill_00000226
227,1700000000586083010,UNH,Buy,5170,512.48,264.95,momentum,acc1,fill_00000227
228,1700000000588261234,HD,Sell,5370,345.93,185.76,market_making,acc2,fill_00000228
229,1700000000591611119,PG,Sell,6960,154.74,107.7,macro,acc1,fill_00000229
230,1700000000594518361,MSFT,Sell,970,372.98,36.18,market_making,acc3,fill_00000230
231,1700000000595879783,UNH,Buy,5970,516.34,308.25,momentum,acc2,fill_00000231
232,1700000000598582195,JNJ,Buy,6100,154.67,94.35,macro,acc2,fill_00000232
233,1700000000601437656,TSLA,Buy,6620,247.97,164.16,vol_arb,acc3,fill_00000233
234,1700000000604572890,AAPL,Sell,3170,176.03,55.8,vol_arb,acc1,fill_00000234
235,1700000000606573270,TSLA,Buy,800,253.14,20.25,market_making,acc1,fill_00000235
236,1700000000610932079,PFE,Buy,6780,27.5,18.64,momentum,acc3,fill_00000236
237,1700000000614192234,TSLA,Buy,1860,257.29,47.86,macro,acc1,fill_00000237
238,1700000000617963704,GOOG,Sell,3740,139.08,52.02,vol_arb,acc3,fill_00000238
239,1700000000620453852,HD,Buy,5470,345.39,188.93,momentum,acc2,fill_00000239
240,1700000000624488240,META,Sell,6950,369.09,256.52,vol_arb,acc2,fill_00000240
241,1700000000627791618,XOM,Sell,9900,103.02,101.99,momentum,acc1,fill_00000241
242,1700000000629052589,V,Buy,6570,264.84,174.0,stat_arb,acc3,fill_00000242
243,1700000000633480350,AMZN,Sell,860,180.42,15.52,momentum,acc2,fill_00000243
244,1700000000637349512,XOM,Buy,8510,100.31,85.36,momentum,acc2,fill_00000244
245,1700000000640382044,AAPL,Sell,550,178.24,9.8,vol_arb,acc3,fill_00000245
246,1700000000643619060,JPM,Sell,840,179.39,15.07,stat_arb,acc3,fill_00000246
247,1700000000646531679,TSLA,Buy,400,250.85,10.03,market_making,acc2,fill_00000247
248,1700000000647795956,BAC,Sell,6310,35.28,22.26,market_making,acc1,fill_00000248
249,1700000000649150217,PFE,Sell,1140,28.01,3.19,market_making,acc1,fill_00000249
250,1700000000651776456,AMZN,Buy,2450,174.4,42.73,vol_arb,acc1,fill_00000250
251,1700000000652806399,BAC,Buy,6480,35.6,23.07,macro,acc3,fill_00000251
252,1700000000654935923,TSLA,Sell,4400,254.66,112.05,macro,acc2,fill_00000252
253,1700000000656607225,MSFT,Sell,700,380.07,26.6,macro,acc3,fill_00000253
254,1700000000660962998,XOM,Buy,4000,105.44,42.18,vol_arb,acc2,fill_00000254
255,1700000000663190770,AAPL,Sell,8080,174.25,140.79,stat_arb,acc2,fill_00000255
256,1700000000665313480,AMZN,Sell,1370,184.35,25.26,momentum,acc3,fill_00000256
257,1700000000669311019,BAC,Buy,8310,35.24,29.28,momentum,acc1,fill_00000257
258,1700000000673250313,GOOG,Sell,2070,141.8,29.35,stat_arb,acc2,fill_00000258
259,1700000000675951418,XOM,Sell,8350,105.38,87.99,macro,acc2,fill_00000259
260,1700000000678176367,GOOG,Buy,2930,136.96,40.13,market_making,acc2,fill_00000260
261,1700000000679320539,MA,Sell,9110,431.45,393.05,vol_arb,acc3,fill_00000261
262,1700000000683109317,JNJ,Sell,9980,156.84,156.53,market_making,acc3,fill_00000262
263,1700000000685446732,MSFT,Sell,810,390.76,31.65,vol_arb,acc3,fill_00000263
264,1700000000687060510,PFE,Sell,3290,28.4,9.34,market_making,acc2,fill_00000264
265,1700000000690901122,KO,Sell,1710,60.64,10.37,vol_arb,acc2,fill_00000265
266,1700000000694751917,GOOG,Sell,6300,142.24,89.61,stat_arb,acc1,fill_00000266
267,1700000000698259455,MA,Buy,9760,419.92,409.84,stat_arb,acc1,fill_00000267
268,1700000000702035115,GOOG,Buy,690,140.35,9.68,market_making,acc2,fill_00000268
269,1700000000706893507,GOOG,Buy,6960,144.02,100.24,vol_arb,acc2,fill_00000269
270,1700000000710114181,HD,Buy,5880,354.34,208.35,market_making,acc3,fill_00000270
271,1700000000712552000,JPM,Buy,270,182.62,4.93,momentum,acc2,fill_00000271
272,1700000000716995162,JNJ,Buy,2690,155.76,41.9,momentum,acc3,fill_00000272
273,1700000000719490754,BAC,Buy,1260,33.92,4.27,momentum,acc1,fill_00000273
274,1700000000723382762,NVDA,Sell,900,458.75,41.29,market_making,acc3,fill_00000274
275,1700000000726397176,MSFT,Sell,9130,361.52,330.07,market_making,acc1,fill_00000275
276,1700000000727957557,MA,Buy,1250,434.82,54.35,momentum,acc2,fill_00000276
277,1700000000728278043,MA,Sell,4790,418.61,200.51,macro,acc1,fill_00000277
278,1700000000729101270,MSFT,Sell,4080,392.11,159.98,macro,acc2,fill_00000278
279,1700000000732635847,ABBV,Buy,1290,154.99,19.99,market_making,acc3,fill_00000279
280,1700000000733357988,HD,Sell,6970,346.35,241.41,macro,acc3,fill_00000280
281,1700000000734984405,TSLA,Sell,5150,249.71,128.6,stat_arb,acc1,fill_00000281
282,1700000000739430560,TSLA,Sell,1690,256.14,43.29,momentum,acc2,fill_00000282
283,1700000000743883390,WMT,Buy,2570,171.56,44.09,momentum,acc3,fill_00000283
284,1700000000748604182,V,Buy,6410,267.83,171.68,macro,acc3,fill_00000284
285,1700000000750118802,ABBV,Buy,1760,158.62,27.92,macro,acc3,fill_00000285
286,1700000000753050960,ABBV,Buy,8460,155.84,131.84,macro,acc2,fill_00000286
287,1700000000754919348,ABBV,Sell,6330,154.04,97.51,stat_arb,acc2,fill_00000287
288,1700000000759595983,WMT,Sell,4950,165.19,81.77,vol_arb,acc2,fill_00000288
289,1700000000763500586,MSFT,Buy,1620,393.79,63.79,vol_arb,acc2,fill_00000289
290,1700000000767662778,HD,Buy,3490,345.25,120.49,market_making,acc3,fill_00000290
291,1700000000770659956,JNJ,Buy,7790,153.33,119.44,market_making,acc3,fill_00000291
292,1700000000775471427,AMZN,Sell,2480,177.22,43.95,momentum,acc1,fill_00000292
293,1700000000776383542,GOOG,Sell,9690,140.46,136.11,vol_arb,acc3,fill_00000293
294,1700000000779991110,JPM,Buy,8340,177.79,148.28,market_making,acc1,fill_00000294
295,1700000000781427771,BAC,Sell,5110,35.81,18.3,market_making,acc2,fill_00000295
296,1700000000781722187,MSFT,Sell,5180,374.56,194.02,macro,acc2,fill_00000296
297,1700000000782230361,GOOG,Sell,5070,140.55,71.26,macro,acc3,fill_00000297
298,1700000000786277929,WMT,Buy,8680,166.38,144.42,market_making,acc3,fill_00000298
299,1700000000789446294,JNJ,Sell,470,156.04,7.33,vol_arb,acc1,fill_00000299
300,1700000000794330163,PFE,Buy,3720,27.79,10.34,macro,acc2,fill_00000300
301,1700000000799042698,V,Buy,1320,269.31,35.55,stat_arb,acc2,fill_00000301
302,1700000000802273312,UNH,Sell,7740,528.71,409.22,vol_arb,acc3,fill_00000302
303,1700000000802710994,GOOG,Buy,1410,142.99,20.16,market_making,acc2,fill_00000303
304,1700000000807167472,HD,Buy,6210,353.01,219.22,macro,acc2,fill_00000304
305,1700000000808630637,JNJ,Sell,6080,153.94,93.6,market_making,acc3,fill_00000305
306,1700000000813006428,PFE,Sell,7260,27.41,19.9,stat_arb,acc2,fill_00000306
307,1700000000815885067,AMZN,Sell,5980,178.43,106.7,market_making,acc3,fill_00000307
308,1700000000816208599,KO,Sell,2720,62.05,16.88,macro,acc3,fill_00000308
309,1700000000818217369,GOOG,Sell,1750,138.99,24.32,macro,acc3,fill_00000309
310,1700000000821506636,TSLA,Buy,330,243.03,8.02,momentum,acc1,fill_00000310
311,1700000000825306335,UNH,Sell,1560,512.89,80.01,vol_arb,acc3,fill_00000311
